Lot,Process001_MachineNo,Process002_MachineNo,Process003_MachineNo,Process004_MachineNo,Process005_MachineNo,Process006_MachineNo,Process007_MachineNo,Process008_MachineNo,Process009_MachineNo,Process010_MachineNo,Process011_MachineNo,Process012_MachineNo,Process013_MachineNo,Process014_MachineNo,Process015_MachineNo,Process016_MachineNo,Process017_MachineNo,Process018_MachineNo,Process019_MachineNo,Process020_MachineNo,Process021_MachineNo,Process022_MachineNo,Process023_MachineNo,Process024_MachineNo,Process025_MachineNo,Process026_MachineNo,Process027_MachineNo,Process028_MachineNo,Process029_MachineNo,Process030_MachineNo,Process031_MachineNo,Process032_MachineNo,Process033_MachineNo,Process034_MachineNo,Process035_MachineNo,Process036_MachineNo,Process037_MachineNo,Final,CurrentTotalNum,BadNum,TotalNum
WB2018A00228-A00164,ME-004By20181008_20181014,SP-005By20181008_20181014,PL-024By20181008_20181014,DR-004By20181008_20181014,EX-019By20181008_20181014,DM-006By20181008_20181014,PL-011By20181008_20181014,ME-005By20181008_20181014,GP-007By20181008_20181014,PT-106By20181008_20181014,OV-121By20181008_20181014,EX-017By20181015_20181021,DM-004By20181015_20181021,OV-122By20181015_20181021,PT-114By20181105_20181111,OV-077By20181105_20181111,DK-012By20181105_20181111,DM-004By20181105_20181111,OV-133By20181105_20181111,SB-001By20181105_20181111,,,,,,,,,,,,,,,,,,20,89.0,0.0,96.0
WB2018A00228-A00164,ME-004By20181008_20181014,SP-005By20181008_20181014,PL-024By20181008_20181014,DR-004By20181008_20181014,EX-019By20181008_20181014,DM-006By20181008_20181014,PL-011By20181008_20181014,ME-005By20181008_20181014,GP-007By20181008_20181014,PT-106By20181008_20181014,OV-121By20181008_20181014,EX-017By20181015_20181021,DM-004By20181015_20181021,OV-122By20181015_20181021,PT-114By20181105_20181111,OV-077By20181105_20181111,DK-012By20181105_20181111,DM-004By20181105_20181111,OV-133By20181105_20181111,SB-001By20181105_20181111,ES-001By20181105_20181111,,,,,,,,,,,,,,,,,21,89.0,0.0,96.0
WB2018A00228-A00164,ME-004By20181008_20181014,SP-005By20181008_20181014,PL-024By20181008_20181014,DR-004By20181008_20181014,EX-019By20181008_20181014,DM-006By20181008_20181014,PL-011By20181008_20181014,ME-005By20181008_20181014,GP-007By20181008_20181014,PT-106By20181008_20181014,OV-121By20181008_20181014,EX-017By20181015_20181021,DM-004By20181015_20181021,OV-122By20181015_20181021,PT-114By20181105_20181111,OV-077By20181105_20181111,DK-012By20181105_20181111,DM-004By20181105_20181111,OV-133By20181105_20181111,SB-001By20181105_20181111,ES-001By20181105_20181111,GA-601By20181105_20181111,,,,,,,,,,,,,,,,22,89.0,0.0,96.0
WB2018A00228-A00164,ME-004By20181008_20181014,SP-005By20181008_20181014,PL-024By20181008_20181014,DR-004By20181008_20181014,EX-019By20181008_20181014,DM-006By20181008_20181014,PL-011By20181008_20181014,ME-005By20181008_20181014,GP-007By20181008_20181014,PT-106By20181008_20181014,OV-121By20181008_20181014,EX-017By20181015_20181021,DM-004By20181015_20181021,OV-122By20181015_20181021,PT-114By20181105_20181111,OV-077By20181105_20181111,DK-012By20181105_20181111,DM-004By20181105_20181111,OV-133By20181105_20181111,SB-001By20181105_20181111,ES-001By20181105_20181111,GA-601By20181105_20181111,LS-051By20181105_20181111,,,,,,,,,,,,,,,23,89.0,0.0,96.0
WB2018A00228-A00164,ME-004By20181008_20181014,SP-005By20181008_20181014,PL-024By20181008_20181014,DR-004By20181008_20181014,EX-019By20181008_20181014,DM-006By20181008_20181014,PL-011By20181008_20181014,ME-005By20181008_20181014,GP-007By20181008_20181014,PT-106By20181008_20181014,OV-121By20181008_20181014,EX-017By20181015_20181021,DM-004By20181015_20181021,OV-122By20181015_20181021,PT-114By20181105_20181111,OV-077By20181105_20181111,DK-012By20181105_20181111,DM-004By20181105_20181111,OV-133By20181105_20181111,SB-001By20181105_20181111,ES-001By20181105_20181111,GA-601By20181105_20181111,LS-051By20181105_20181111,LK-006By20181105_20181111,,,,,,,,,,,,,,24,89.0,0.0,96.0
WB2018A00228-A00164,ME-004By20181008_20181014,SP-005By20181008_20181014,PL-024By20181008_20181014,DR-004By20181008_20181014,EX-019By20181008_20181014,DM-006By20181008_20181014,PL-011By20181008_20181014,ME-005By20181008_20181014,GP-007By20181008_20181014,PT-106By20181008_20181014,OV-121By20181008_20181014,EX-017By20181015_20181021,DM-004By20181015_20181021,OV-122By20181015_20181021,PT-114By20181105_20181111,OV-077By20181105_20181111,DK-012By20181105_20181111,DM-004By20181105_20181111,OV-133By20181105_20181111,SB-001By20181105_20181111,ES-001By20181105_20181111,GA-601By20181105_20181111,LS-051By20181105_20181111,LK-006By20181105_20181111,AT-001By20181105_20181111,,,,,,,,,,,,,25,89.0,0.0,96.0
WB2018A00228-A00164,ME-004By20181008_20181014,SP-005By20181008_20181014,PL-024By20181008_20181014,DR-004By20181008_20181014,EX-019By20181008_20181014,DM-006By20181008_20181014,PL-011By20181008_20181014,ME-005By20181008_20181014,GP-007By20181008_20181014,PT-106By20181008_20181014,OV-121By20181008_20181014,EX-017By20181015_20181021,DM-004By20181015_20181021,OV-122By20181015_20181021,PT-114By20181105_20181111,OV-077By20181105_20181111,DK-012By20181105_20181111,DM-004By20181105_20181111,OV-133By20181105_20181111,SB-001By20181105_20181111,ES-001By20181105_20181111,GA-601By20181105_20181111,LS-051By20181105_20181111,LK-006By20181105_20181111,AT-001By20181105_20181111,HM-006By20181105_20181111,,,,,,,,,,,,26,89.0,0.0,96.0
WB2018A00228-A00164,ME-004By20181008_20181014,SP-005By20181008_20181014,PL-024By20181008_20181014,DR-004By20181008_20181014,EX-019By20181008_20181014,DM-006By20181008_20181014,PL-011By20181008_20181014,ME-005By20181008_20181014,GP-007By20181008_20181014,PT-106By20181008_20181014,OV-121By20181008_20181014,EX-017By20181015_20181021,DM-004By20181015_20181021,OV-122By20181015_20181021,PT-114By20181105_20181111,OV-077By20181105_20181111,DK-012By20181105_20181111,DM-004By20181105_20181111,OV-133By20181105_20181111,SB-001By20181105_20181111,ES-001By20181105_20181111,GA-601By20181105_20181111,LS-051By20181105_20181111,LK-006By20181105_20181111,AT-001By20181105_20181111,HM-006By20181105_20181111,FT-078By20181105_20181111,,,,,,,,,,,27,89.0,3.1013986013986012,96.0
WB2018A00228-A00164,ME-004By20181008_20181014,SP-005By20181008_20181014,PL-024By20181008_20181014,DR-004By20181008_20181014,EX-019By20181008_20181014,DM-006By20181008_20181014,PL-011By20181008_20181014,ME-005By20181008_20181014,GP-007By20181008_20181014,PT-106By20181008_20181014,OV-121By20181008_20181014,EX-017By20181015_20181021,DM-004By20181015_20181021,OV-122By20181015_20181021,PT-114By20181105_20181111,OV-077By20181105_20181111,DK-012By20181105_20181111,DM-004By20181105_20181111,OV-133By20181105_20181111,SB-001By20181105_20181111,ES-001By20181105_20181111,GA-601By20181105_20181111,LS-051By20181105_20181111,LK-006By20181105_20181111,AT-001By20181105_20181111,HM-006By20181105_20181111,FT-078By20181105_20181111,MS-016By20181105_20181111,,,,,,,,,,28,85.8986013986014,0.0,96.0
WB2018A00228-A00164,ME-004By20181008_20181014,SP-005By20181008_20181014,PL-024By20181008_20181014,DR-004By20181008_20181014,EX-019By20181008_20181014,DM-006By20181008_20181014,PL-011By20181008_20181014,ME-005By20181008_20181014,GP-007By20181008_20181014,PT-106By20181008_20181014,OV-121By20181008_20181014,EX-017By20181015_20181021,DM-004By20181015_20181021,OV-122By20181015_20181021,PT-114By20181105_20181111,OV-077By20181105_20181111,DK-012By20181105_20181111,DM-004By20181105_20181111,OV-133By20181105_20181111,SB-001By20181105_20181111,ES-001By20181105_20181111,GA-601By20181105_20181111,LS-051By20181105_20181111,LK-006By20181105_20181111,AT-001By20181105_20181111,HM-006By20181105_20181111,FT-078By20181105_20181111,MS-016By20181105_20181111,MS-018By20181105_20181111,,,,,,,,,29,85.8986013986014,12.5,96.0
WB2018A00228-A00164,ME-004By20181008_20181014,SP-005By20181008_20181014,PL-024By20181008_20181014,DR-004By20181008_20181014,EX-019By20181008_20181014,DM-006By20181008_20181014,PL-011By20181008_20181014,ME-005By20181008_20181014,GP-007By20181008_20181014,PT-106By20181008_20181014,OV-121By20181008_20181014,EX-017By20181015_20181021,DM-004By20181015_20181021,OV-122By20181015_20181021,PT-114By20181105_20181111,OV-077By20181105_20181111,DK-012By20181105_20181111,DM-004By20181105_20181111,OV-133By20181105_20181111,SB-001By20181105_20181111,ES-001By20181105_20181111,GA-601By20181105_20181111,LS-051By20181105_20181111,LK-006By20181105_20181111,AT-001By20181105_20181111,HM-006By20181105_20181111,FT-078By20181105_20181111,MS-016By20181105_20181111,MS-018By20181105_20181111,LS-064By20181105_20181111,,,,,,,,-1,73.3986013986014,0.0,96.0
WB2018A00643-A00816,CR-022By20181029_20181104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,48.0,1.0,48.0
WB2018A00643-A00816,CR-022By20181029_20181104,OV-058By20181029_20181104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,47.0,0.0,48.0
WB2018A00643-A00816,CR-022By20181029_20181104,OV-058By20181029_20181104,SP-005By20181029_20181104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,47.0,0.0,48.0
WB2018A00643-A00816,CR-022By20181029_20181104,OV-058By20181029_20181104,SP-005By20181029_20181104,PL-024By20181029_20181104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,47.0,0.0,48.0
WB2018A00643-A00816,CR-022By20181029_20181104,OV-058By20181029_20181104,SP-005By20181029_20181104,PL-024By20181029_20181104,DR-001By20181029_20181104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,47.0,0.0,48.0
WB2018A00643-A00816,CR-022By20181029_20181104,OV-058By20181029_20181104,SP-005By20181029_20181104,PL-024By20181029_20181104,DR-001By20181029_20181104,EX-017By20181029_20181104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,47.0,0.0,48.0
WB2018A00643-A00816,CR-022By20181029_20181104,OV-058By20181029_20181104,SP-005By20181029_20181104,PL-024By20181029_20181104,DR-001By20181029_20181104,EX-017By20181029_20181104,DM-005By20181029_20181104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,47.0,0.0,48.0
WB2018A00643-A00816,CR-022By20181029_20181104,OV-058By20181029_20181104,SP-005By20181029_20181104,PL-024By20181029_20181104,DR-001By20181029_20181104,EX-017By20181029_20181104,DM-005By20181029_20181104,PL-011By20181029_20181104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,47.0,0.0,48.0
WB2018A00643-A00816,CR-022By20181029_20181104,OV-058By20181029_20181104,SP-005By20181029_20181104,PL-024By20181029_20181104,DR-001By20181029_20181104,EX-017By20181029_20181104,DM-005By20181029_20181104,PL-011By20181029_20181104,GP-005By20181029_20181104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,47.0,0.0,48.0
WB2018A00643-A00816,CR-022By20181029_20181104,OV-058By20181029_20181104,SP-005By20181029_20181104,PL-024By20181029_20181104,DR-001By20181029_20181104,EX-017By20181029_20181104,DM-005By20181029_20181104,PL-011By20181029_20181104,GP-005By20181029_20181104,ME-005By20181029_20181104,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,47.0,0.0,48.0
WB2018A00643-A00816,CR-022By20181029_20181104,OV-058By20181029_20181104,SP-005By20181029_20181104,PL-024By20181029_20181104,DR-001By20181029_20181104,EX-017By20181029_20181104,DM-005By20181029_20181104,PL-011By20181029_20181104,GP-005By20181029_20181104,ME-005By20181029_20181104,SB-001By20181029_20181104,,,,,,,,,,,,,,,,,,,,,,,,,,,11,47.0,0.0,48.0
WB2018A00643-A00816,CR-022By20181029_20181104,OV-058By20181029_20181104,SP-005By20181029_20181104,PL-024By20181029_20181104,DR-001By20181029_20181104,EX-017By20181029_20181104,DM-005By20181029_20181104,PL-011By20181029_20181104,GP-005By20181029_20181104,ME-005By20181029_20181104,SB-001By20181029_20181104,PL-018By20181029_20181104,,,,,,,,,,,,,,,,,,,,,,,,,,12,47.0,0.0,48.0
WB2018A00643-A00816,CR-022By20181029_20181104,OV-058By20181029_20181104,SP-005By20181029_20181104,PL-024By20181029_20181104,DR-001By20181029_20181104,EX-017By20181029_20181104,DM-005By20181029_20181104,PL-011By20181029_20181104,GP-005By20181029_20181104,ME-005By20181029_20181104,SB-001By20181029_20181104,PL-018By20181029_20181104,LS-051By20181029_20181104,,,,,,,,,,,,,,,,,,,,,,,,,13,47.0,0.0,48.0
WB2018A00643-A00816,CR-022By20181029_20181104,OV-058By20181029_20181104,SP-005By20181029_20181104,PL-024By20181029_20181104,DR-001By20181029_20181104,EX-017By20181029_20181104,DM-005By20181029_20181104,PL-011By20181029_20181104,GP-005By20181029_20181104,ME-005By20181029_20181104,SB-001By20181029_20181104,PL-018By20181029_20181104,LS-051By20181029_20181104,LS-061By20181105_20181111,,,,,,,,,,,,,,,,,,,,,,,,14,47.0,0.0,48.0
WB2018A00643-A00816,CR-022By20181029_20181104,OV-058By20181029_20181104,SP-005By20181029_20181104,PL-024By20181029_20181104,DR-001By20181029_20181104,EX-017By20181029_20181104,DM-005By20181029_20181104,PL-011By20181029_20181104,GP-005By20181029_20181104,ME-005By20181029_20181104,SB-001By20181029_20181104,PL-018By20181029_20181104,LS-051By20181029_20181104,LS-061By20181105_20181111,GA-593By20181105_20181111,,,,,,,,,,,,,,,,,,,,,,,15,47.0,0.0,48.0
WB2018A00643-A00816,CR-022By20181029_20181104,OV-058By20181029_20181104,SP-005By20181029_20181104,PL-024By20181029_20181104,DR-001By20181029_20181104,EX-017By20181029_20181104,DM-005By20181029_20181104,PL-011By20181029_20181104,GP-005By20181029_20181104,ME-005By20181029_20181104,SB-001By20181029_20181104,PL-018By20181029_20181104,LS-051By20181029_20181104,LS-061By20181105_20181111,GA-593By20181105_20181111,FT-066By20181105_20181111,,,,,,,,,,,,,,,,,,,,,,16,47.0,0.39533730158730157,48.0
WB2018A00643-A00816,CR-022By20181029_20181104,OV-058By20181029_20181104,SP-005By20181029_20181104,PL-024By20181029_20181104,DR-001By20181029_20181104,EX-017By20181029_20181104,DM-005By20181029_20181104,PL-011By20181029_20181104,GP-005By20181029_20181104,ME-005By20181029_20181104,SB-001By20181029_20181104,PL-018By20181029_20181104,LS-051By20181029_20181104,LS-061By20181105_20181111,GA-593By20181105_20181111,FT-066By20181105_20181111,CR-049By20181105_20181111,,,,,,,,,,,,,,,,,,,,,17,46.604662698412696,0.0,48.0
WB2018A00643-A00816,CR-022By20181029_20181104,OV-058By20181029_20181104,SP-005By20181029_20181104,PL-024By20181029_20181104,DR-001By20181029_20181104,EX-017By20181029_20181104,DM-005By20181029_20181104,PL-011By20181029_20181104,GP-005By20181029_20181104,ME-005By20181029_20181104,SB-001By20181029_20181104,PL-018By20181029_20181104,LS-051By20181029_20181104,LS-061By20181105_20181111,GA-593By20181105_20181111,FT-066By20181105_20181111,CR-049By20181105_20181111,MS-039By20181105_20181111,,,,,,,,,,,,,,,,,,,,18,46.604662698412696,0.0,48.0
WB2018A00643-A00816,CR-022By20181029_20181104,OV-058By20181029_20181104,SP-005By20181029_20181104,PL-024By20181029_20181104,DR-001By20181029_20181104,EX-017By20181029_20181104,DM-005By20181029_20181104,PL-011By20181029_20181104,GP-005By20181029_20181104,ME-005By20181029_20181104,SB-001By20181029_20181104,PL-018By20181029_20181104,LS-051By20181029_20181104,LS-061By20181105_20181111,GA-593By20181105_20181111,FT-066By20181105_20181111,CR-049By20181105_20181111,MS-039By20181105_20181111,MS-040By20181105_20181111,,,,,,,,,,,,,,,,,,,19,46.604662698412696,1.3883928571428572,48.0
WB2018A00643-A00816,CR-022By20181029_20181104,OV-058By20181029_20181104,SP-005By20181029_20181104,PL-024By20181029_20181104,DR-001By20181029_20181104,EX-017By20181029_20181104,DM-005By20181029_20181104,PL-011By20181029_20181104,GP-005By20181029_20181104,ME-005By20181029_20181104,SB-001By20181029_20181104,PL-018By20181029_20181104,LS-051By20181029_20181104,LS-061By20181105_20181111,GA-593By20181105_20181111,FT-066By20181105_20181111,CR-049By20181105_20181111,MS-039By20181105_20181111,MS-040By20181105_20181111,LS-067By20181105_20181111,,,,,,,,,,,,,,,,,,-1,45.21626984126984,0.0,48.0
WB2018A00620-A00156,CR-046By20181022_20181028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,48.0,0.0,48.0
WB2018A00620-A00156,CR-046By20181022_20181028,OV-148By20181022_20181028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,48.0,0.0,48.0
WB2018A00620-A00156,CR-046By20181022_20181028,OV-148By20181022_20181028,SP-007By20181022_20181028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,48.0,0.0,48.0
WB2018A00620-A00156,CR-046By20181022_20181028,OV-148By20181022_20181028,SP-007By20181022_20181028,PL-024By20181022_20181028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,48.0,0.0,48.0
WB2018A00620-A00156,CR-046By20181022_20181028,OV-148By20181022_20181028,SP-007By20181022_20181028,PL-024By20181022_20181028,DR-006By20181022_20181028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,48.0,0.0,48.0
WB2018A00620-A00156,CR-046By20181022_20181028,OV-148By20181022_20181028,SP-007By20181022_20181028,PL-024By20181022_20181028,DR-006By20181022_20181028,EX-015By20181029_20181104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,48.0,0.0,48.0
WB2018A00620-A00156,CR-046By20181022_20181028,OV-148By20181022_20181028,SP-007By20181022_20181028,PL-024By20181022_20181028,DR-006By20181022_20181028,EX-015By20181029_20181104,PL-017By20181029_20181104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,48.0,0.0,48.0
WB2018A00620-A00156,CR-046By20181022_20181028,OV-148By20181022_20181028,SP-007By20181022_20181028,PL-024By20181022_20181028,DR-006By20181022_20181028,EX-015By20181029_20181104,PL-017By20181029_20181104,ME-005By20181029_20181104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,48.0,1.0,48.0
WB2018A00620-A00156,CR-046By20181022_20181028,OV-148By20181022_20181028,SP-007By20181022_20181028,PL-024By20181022_20181028,DR-006By20181022_20181028,EX-015By20181029_20181104,PL-017By20181029_20181104,ME-005By20181029_20181104,PT-106By20181029_20181104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,47.0,0.0,48.0
WB2018A00620-A00156,CR-046By20181022_20181028,OV-148By20181022_20181028,SP-007By20181022_20181028,PL-024By20181022_20181028,DR-006By20181022_20181028,EX-015By20181029_20181104,PL-017By20181029_20181104,ME-005By20181029_20181104,PT-106By20181029_20181104,OV-125By20181029_20181104,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,47.0,0.0,48.0
WB2018A00620-A00156,CR-046By20181022_20181028,OV-148By20181022_20181028,SP-007By20181022_20181028,PL-024By20181022_20181028,DR-006By20181022_20181028,EX-015By20181029_20181104,PL-017By20181029_20181104,ME-005By20181029_20181104,PT-106By20181029_20181104,OV-125By20181029_20181104,OV-133By20181029_20181104,,,,,,,,,,,,,,,,,,,,,,,,,,,11,47.0,0.0,48.0
WB2018A00620-A00156,CR-046By20181022_20181028,OV-148By20181022_20181028,SP-007By20181022_20181028,PL-024By20181022_20181028,DR-006By20181022_20181028,EX-015By20181029_20181104,PL-017By20181029_20181104,ME-005By20181029_20181104,PT-106By20181029_20181104,OV-125By20181029_20181104,OV-133By20181029_20181104,DK-003By20181105_20181111,,,,,,,,,,,,,,,,,,,,,,,,,,12,47.0,0.0,48.0
